epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
192,8859.06,0.33947,0.49955,0.24016,0.94757,0.85834,0.92693,0.57677,0.4645,0.43519,0.42551,0.0186546,0.0062182,0.0186546,0.0062182,0.0186546,0.0062182,0.0186546,0.0062182
1,76.746,0.92295,2.01443,0.77433,0.3868,0.35098,0.28546,0.13928,0.59461,1.06313,0.48863,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381
193,8919.2,0.34819,0.49827,0.24993,0.94647,0.85426,0.92631,0.57053,0.46921,0.44138,0.42964,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984
2,141.234,0.65615,0.80448,0.56644,0.44471,0.33024,0.28973,0.1025,0.979,0.74576,1.02924,0.0197822,0.00659406,0.0197822,0.00659406,0.0197822,0.00659406,0.0197822,0.00659406
194,8983.16,0.35001,0.4986,0.24763,0.93815,0.86108,0.92558,0.57978,0.4642,0.43578,0.42231,0.0185358,0.0061786,0.0185358,0.0061786,0.0185358,0.0061786,0.0185358,0.0061786
3,206.044,0.5934,0.77,0.50117,0.44883,0.25382,0.22311,0.06415,1.03121,0.74657,1.11352,0.0297033,0.00990111,0.0297033,0.00990111,0.0297033,0.00990111,0.0297033,0.00990111
195,9047.99,0.35059,0.49503,0.24748,0.943,0.85753,0.92648,0.58014,0.4684,0.43501,0.42412,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588
4,270.668,0.62302,0.76348,0.51311,0.47821,0.40822,0.32361,0.11523,0.73292,0.8234,0.68035,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
196,9111.49,0.34563,0.49393,0.25251,0.94288,0.85599,0.92484,0.57211,0.47343,0.44079,0.43559,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
5,335.171,0.61744,0.7673,0.496,0.26863,0.20961,0.14448,0.03366,0.9036,0.95861,0.94151,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
197,9174.99,0.36109,0.49662,0.25183,0.94974,0.85604,0.92916,0.57748,0.46925,0.43793,0.42855,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192
6,399.151,0.59653,0.75364,0.47067,0.69396,0.5786,0.59397,0.20682,0.71045,0.70538,0.73711,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
198,9238.6,0.35103,0.49616,0.2489,0.94,0.86081,0.92806,0.58762,0.46173,0.43066,0.41645,0.0182982,0.0060994,0.0182982,0.0060994,0.0182982,0.0060994,0.0182982,0.0060994
7,463.64,0.59258,0.73312,0.46238,0.74537,0.54148,0.60061,0.2163,0.68795,0.67151,0.69601,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
199,9302.46,0.3228,0.48119,0.24386,0.94496,0.86081,0.92983,0.58472,0.46329,0.43283,0.41593,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796
8,528.17,0.58302,0.724,0.43933,0.70112,0.55188,0.60686,0.19887,0.69755,0.76034,0.69921,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
200,9365.99,0.32498,0.47966,0.24307,0.93587,0.86736,0.92886,0.59102,0.45955,0.43156,0.40684,0.0181794,0.0060598,0.0181794,0.0060598,0.0181794,0.0060598,0.0181794,0.0060598
9,592.677,0.56482,0.70362,0.44452,0.74291,0.59934,0.63935,0.21084,0.73256,0.63427,0.76047,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
201,9428.7,0.35536,0.48731,0.25709,0.9284,0.87227,0.93014,0.59003,0.46146,0.43063,0.40706,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,657.353,0.5641,0.69896,0.4359,0.74972,0.64956,0.68811,0.22874,0.69672,0.63367,0.73427,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
202,9491.36,0.32701,0.48505,0.24087,0.93059,0.87088,0.92866,0.59212,0.46051,0.43086,0.40558,0.0180606,0.0060202,0.0180606,0.0060202,0.0180606,0.0060202,0.0180606,0.0060202
