epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.0332,2.09653,2.92821,2.09892,0,0,0,0,2.14285,3.17431,1.98435,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381
2,60.7214,1.75251,2.12683,1.80607,0.54649,0.15721,0.33901,0.14043,2.25205,2.6252,2.09113,0.0197822,0.00659406,0.0197822,0.00659406,0.0197822,0.00659406,0.0197822,0.00659406
3,73.9657,1.83518,2.06637,1.88778,0.10231,0.15611,0.05955,0.01848,2.78314,11.4894,3.38082,0.0297033,0.00990111,0.0297033,0.00990111,0.0297033,0.00990111,0.0297033,0.00990111
4,94.5016,1.93077,2.18562,1.99063,0.02653,0.07969,0.01225,0.00343,3.3529,8.63225,4.16954,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,108.739,1.88005,2.0678,1.96076,0.14538,0.20633,0.0932,0.03101,2.6917,7.41583,2.78421,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,126.701,1.83474,1.99787,1.93333,0.26042,0.34662,0.22227,0.08284,2.39301,4.97187,2.36355,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,142.225,1.8122,1.94967,1.89146,0.25954,0.17249,0.13333,0.04961,2.71552,5.44655,2.54412,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,157.971,1.78185,1.87722,1.8725,0.08985,0.18286,0.05263,0.01953,2.48164,4.40705,2.54585,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,176.751,1.74159,1.82913,1.85733,0.48193,0.45087,0.48256,0.22623,2.16088,1.96937,2.0538,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,190.104,1.71575,1.7835,1.83262,0.55457,0.50218,0.5146,0.21012,2.18187,2.42596,2.07198,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,210.252,1.68374,1.75211,1.8066,0.57036,0.37391,0.48019,0.26322,1.92494,1.94964,1.88122,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,224.837,1.6801,1.7,1.78883,0.51424,0.41976,0.44799,0.22425,1.95534,1.97076,1.912,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
