filename,class,ymin,xmin,xmax,ymax,source,track_id,frame_id
gfp_polynesia1_frame360.jpg,shark,443,0,426,695,gfp_polynesia1,8,12
gfp_polynesia1_frame390.jpg,shark,568,0,592,712,gfp_polynesia1,8,13
gfp_polynesia1_frame420.jpg,shark,404,439,947,717,gfp_polynesia1,8,14
gfp_polynesia1_frame450.jpg,shark,79,0,1047,715,gfp_polynesia1,8,15
gfp_polynesia1_frame480.jpg,shark,2,0,980,339,gfp_polynesia1,8,16
gfp_polynesia1_frame720.jpg,shark,283,979,1280,390,gfp_polynesia1,13,24
gfp_polynesia1_frame750.jpg,shark,278,896,1158,380,gfp_polynesia1,13,25
gfp_polynesia1_frame780.jpg,shark,237,742,1012,349,gfp_polynesia1,13,26
gfp_polynesia1_frame810.jpg,shark,183,415,835,337,gfp_polynesia1,13,27
gfp_polynesia1_frame840.jpg,shark,144,60,653,317,gfp_polynesia1,13,28
gfp_polynesia1_frame870.jpg,shark,105,1,357,292,gfp_polynesia1,13,29
gfp_polynesia1_frame750.jpg,shark,321,1062,1279,428,gfp_polynesia1,14,25
gfp_polynesia1_frame780.jpg,shark,275,629,1279,468,gfp_polynesia1,14,26
gfp_polynesia1_frame810.jpg,shark,202,310,825,460,gfp_polynesia1,14,27
gfp_polynesia1_frame840.jpg,shark,258,180,485,535,gfp_polynesia1,14,28
gfp_polynesia1_frame870.jpg,shark,305,278,612,720,gfp_polynesia1,14,29
gfp_polynesia1_frame900.jpg,shark,431,0,334,720,gfp_polynesia1,14,30
gfp_polynesia1_frame930.jpg,shark,2,689,1279,456,gfp_polynesia1,17,31
gfp_polynesia1_frame960.jpg,shark,166,411,1279,458,gfp_polynesia1,17,32
gfp_polynesia1_frame990.jpg,shark,177,0,919,538,gfp_polynesia1,17,33
gfp_polynesia1_frame1020.jpg,shark,285,0,533,603,gfp_polynesia1,17,34
gfp_polynesia1_frame1050.jpg,shark,383,2,165,555,gfp_polynesia1,17,35
gfp_polynesia1_frame1830.jpg,shark,229,922,1279,484,gfp_polynesia1,22,61
gfp_polynesia1_frame1860.jpg,shark,82,0,1278,570,gfp_polynesia1,22,62
gfp_polynesia1_frame1890.jpg,shark,124,0,454,403,gfp_polynesia1,22,63
gfp_polynesia1_frame1950.jpg,shark,119,0,187,301,gfp_polynesia1,24,65
